English,Português
his,seu
Exactly,Exatamente
to it,para isso
Young,Novo
Minute,Minuto
before,antes de
city,cidade
at the,no
to die,morrer
wicked,malvado
Law,Lei
believe,acreditam
Wait,Esperar
about that,sobre isso
yours,Sua
your,seu
end,fim
Head,Cabeça
things,coisas
Name,Nome
TRUE,verdadeiro
All,Todo
alone,sozinho
Naturally,Naturalmente
kill,mate
nothing,nada
For real,Sério
receive,receber
Men,Homens
to forget,esquecer
But,Mas
to,para
gave,deu
later,mais tarde
knew,sabia
eyes,olhos
thanks to,graças a
friends,amigos
guys,rapazes
keep,guarda
waiting,espera
luck,sorte
both,Ambas
quality,qualidade
Your,Seu
know,conhecer
Your,Seu
n,n.
Hi,Oi
Dr,Dr.
automobile,automóvel
legend,lenda
go,ir
come,venha
To you,Para você
make,fazer
Of,Do
Clock,Relógio
see,Vejo
Devil,diabo
otherwise,por outro lado
Kind,Amável
gladly,de bom grado
love,amar
every,cada
could,poderia
their,deles
Stop,Pare
case,caso
Dad,Pai
Movie,Filme
little,pequeno
actually,na realidade
far,distante
make up,Maquiagem
Give,Dar
past,passado
understand,Compreendo
Thanks,Obrigado
in it,iniciar
in the,no
Surname,Sobrenome
entire,inteira
music,música
would,gostaria
door,porta
insane,insano
ward,enfermaria
think,pensar
still,ainda
your turn,sua vez
Look,Veja
rather,em vez de
The,O
Life,Vida
good,Boa
Around,Por aí
thereon,No entanto
No,Não
Right,Certo
Guy,Cara
latest,Mais recentes
job,trabalho
lost,perdido
became,tornou-se
know,conhecer
idea,ideia
his,seu
reason,razão
Great,Excelente
To,Para
Damned,Condenado
soon,em breve
ready,pronto
Alles,Alles.
someone,alguém
Behind,Atras do
Nice,agradável
very,muito
hand,mão
allowed,permitido
This,este
women,mulheres
To you,Para você
idea,ideia
down,baixa
Makes,Faz
outside,fora
long,grandes
country,país
let,deixar
Type,Tipo
have,ter
no matter,Não importa
work,trabalhar
late,atrasado
to stand,para ficar de pé
OK,OK
Quality,Qualidade
came,veio
at,no
about,cerca de
eat,comer
small,pequeno
everyone,todos
sister,irmã
water,agua
play,Reproduzir
story,história
his,seu
lies,mentiras
saw,serrar
Mom,Mãe
side,lado
little,pequeno
calm,calma
ask,perguntar
mean,quer dizer
at all,em absoluto
drive,dirigir
All,Todo
Walk,Andar
eat,comer
Quiet,Quieto
real,real
tries,tentativas
daughter,filha
Comes,Vem
A,UMA
went,foi
year,ano
needs,precisa
nearly,por pouco
new,novo
go,ir
pretty much,bastante
different,diferente
see,Vejo
police,polícia
hours,horas
had to,tive
game,jogos
been,sido
gladly,de bom grado
find,encontrar
told,contou
death,morte
location,localização
chance,chance
means,meios
Was,Foi
say,dizer
tell,contar
to ask,perguntar
last,durar
even,até
first,primeiro
stuff,material
truth,verdade
only,só
short,curto
to them,para eles
Come,Venha
fun,Diversão
After,Depois de
above,acima de
mummy,mamãe
heavy,pesado
school,escola
ever,sempre
just,somente
face,face
certainly,certamente
meet,Conheça
nobody,ninguém
week,semana
excuse,com licença
Care for,Cuidar
wait,aguarde
naturally,naturalmente
bad,mau
size,Tamanho
killed,morto
to understand,para entender
hope,esperança
Ah,Ah.
May be,Talvez
room,sala
high,Alto
our,nosso
Day,Dia
part,papel
When,Quando
Looking for,Procurando por
leaving,deixando
demonstrate,demonstrar
wanted to,queria
leaves,sai
word,palavra
one,1
in between,entre
Where from,De onde
treasure,Tesouro
Knowledge,Conhecimento
to attempt,tentar
Be able,Ser capaz
Can,pode
kind,amável
to,para
get,pegar
Goes,Vai
ass,bunda
small,pequeno
Have,Ter
White,Branco
first,primeiro
running,correndo
come,venha
girlfriend,Namorada
person,pessoa
both,Ambas
thing,coisa
No way,De jeito nenhum
at last,Afinal
take,levar
got to,ter que
go,ir
today,hoje
think,pensar
heart,coração
weapon,arma
Should,Devemos
tu,Tu.
dollar,dólar
take,levar
show,exposição
to fetch,buscar
often,muitas vezes
on it,nele
other,de outros
No one,Ninguém
below,abaixo
dare,Atreva-se
Yeah,Sim
Nice,agradável
important,importante
MRS,SRA
had,teve
all,todo
Miss,Perde
of their,deles
thought,pensei
number,número
thought,pensei
tell,contar
remains,permanece
Even,Até
hands,mãos
blood,sangue
See,Ver
just,somente
Law,Lei
brings,traz
bed,cama
Permit,Permitir
parents,pais
pleases,agrada
fault,culpa
your,seu
plan,plano
war,guerra
new,novo
Clear,Claro
rescue,resgate
goods,bens
while,enquanto
Yours,Seu
be,estar
error,erro
seems,parece
Leaves,Sai
given,dado
At,No
hear,ouvir
happy,feliz
Damn it,Droga
old,velho
space,espaço
therefore,Portanto
Many,Vários
not correct,incorreto
Our,Nosso
sleep,dormir
Say,Dizer
next,Próximo
five,cinco
free,gratuitamente
worries,Preocupações
In front,Em frente
fixed,fixo
already,já
alone,sozinho
Then,Então
Two,Dois
to ask,perguntar
possible,possível
somehow,de alguma forma
father,pai
learn,aprender
yesterday,ontem
here,aqui
ship,barco
four,Quatro.
anything,nada
Is correct,Está correto
amount,montante
none,Nenhum
need,precisar
Types,Tipos
That,que
hour,hora
scene,cena
hell,inferno
some,algum
For this reason,Por esta razão
become,tornar-se
phone,telefone
Allowed,Permitido
Fire,Incêndio
Want,Quer
Am,Sou
age,idade
Captain,Capitão
the end,o fim
This,este
Problems,Problemas.
Everyone,Todos
Roger that,entendido
when,quando
old,velho
there's,há
but,mas
good,Boa
that is,isso é
own,ter
New,Novo
body,corpo
hearing,audição
To the,Ao
giving,dando
Dude,Parceiro
dog,cão
once again,de novo
have it,Tê-lo
early,cedo
Listen,Ouvir
drink,beber
best,melhor
mine,minha
create,crio
old,velho
air,ar
Someone,Alguém
to be allowed to,estar permitido para
master,mestre
Earth,terra
Since,Desde
For sure,Com certeza
Hearing,Audição
future,futuro
barely,por muito pouco
functions,funções
fully,totalmente
Stay,Fique
suffices,é suficiente
sore,dolorido
place,"Lugar, colocar"
See,Ver
smaller,menor
huge,imenso
weapons,Armas
office,escritório
choice,escolha
lose,perder
Weekly,Semanalmente
In order to,A fim de
piece,peça
love,amar
all,todo
met,conheceu
Ah,Ah.
At the,No
Done,Feito
do,Faz
like,Como
Well,Nós vamos
boss,chefe
everywhere,em todos os lugares
Sees,Vê.
happen,acontecer
fun,Diversão
light,luz
brought,trouxeram
to name,nomear
consequence,consequência
feeling,sentindo-me
fully,totalmente
thinks,acha
key,chave
over there,lá
Correct,Correto
how so,como assim
People,Pessoas
a book,um livro
to run,para correr
play,Reproduzir
earlier,mais cedo
being,ser
Sick,Doente
gone,perdido
found,encontrado
His,Seu
passport,Passaporte
feel,sentir
heaven,Paraíso
joyful,Alegre
light,luz
direct,direto
slow,devagar
wanted,procurado
recall,lembrar
first,primeiro
hospital,hospital
A lot of,Um monte de
best,melhor
Which,Que
taken,levado
physician,médico
ours,nosso
idiot,idiota
Do,Fazer
believe,acreditam
every,cada
Without,Sem
big,grande
had,teve
Ah,Ah.
Boys,Rapazes
rest,descanso
Our,Nosso
tries,tentativas
Days,Dias
next,Próximo
To apologize,Desculpar-se
doctor,doutor
speaks,fala
can,posso
hold,espera
team,equipe
Roger that,entendido
battle,batalha
to marry,casar
could,poderia
Wow,Uau
Some,Algum
Street,rua
Damn,Droga
king,Rei
talk,palestra
small,pequeno
lives,vidas
explain,explique
has been,tem sido
millions,Milhões
Reunion,Reunião
uncle,tio
know,conhecer
sit,sentar
this,esta
fewer,menos
coffee,café
serious,sério
want,quer
wear,vestir
things,coisas
Nevertheless,no entanto
Their,Deles
to buy,comprar
list,Lista
to change,mudar
struggle,luta
hate,odiar
person,pessoa
mouth,boca
kill,mate
president,Presidente
floor,chão
Where,Onde
bother,irmão
party,Festa
asked,Perguntou
Look,Veja
somewhere,em algum lugar
To take care of,Para cuidar de
knows,sabe
hurt,ferido
Have,Ter
news,notícias
Welcome,Receber
many,vários
hard,duro
laser,laser
total,total
prison,prisão
apart from,além de
security,segurança
Fast,Rápido
whom,o qual
Honestly,Honestamente
Interested,Interessado
sex,sexo
told,contou
draw,desenhar
which,que
Our,Nosso
moment,momento
called,chamado
stop,Pare
Great,Excelente
image,imagem
strong,Forte
this,esta
Your,Seu
ten,dez
sense,senso
introduce,introduzir
dream,Sonhe
longer,mais tempo
sometimes,às vezes
call up,Ligue para cima
six,seis
asshole,Idiota
shorter,mais curta
died,faleceu
Day,Dia
It was,Era
disappear,desaparecer
power,potência
spoken,falado
out,Fora
just like that,bem desse jeito
be,estar
one,1
back then,naquela época
mean,quer dizer
favorite,favorito
probably,provavelmente
for this reason,por esta razão
Job,Trabalho
stop,Pare
expected,esperado
such,tal
most,maioria
bring,trazer
quiet,quieto
killed,morto
voice,voz
general,em geral
Give,Dar
excuse me,Desculpe-me
Forget,Esqueço
speech,Fala
to lead,liderar
Move,Mover
hear,ouvir
Otherwise,Por outro lado
business,o negócio
become,tornar-se
could,poderia
wait,aguarde
Out,Fora
